2024-05-04 15:08:59,651 INFO    StreamThr :5364 [internal.py:wandb_internal():86] W&B internal server running at pid: 5364, started at: 2024-05-04 15:08:59.651666
2024-05-04 15:08:59,653 DEBUG   HandlerThread:5364 [handler.py:handle_request():146] handle_request: status
2024-05-04 15:08:59,661 INFO    WriterThread:5364 [datastore.py:open_for_write():87] open: d:\4_Course\1_2023Aio\8_40_Day_Python_Practice\Day38\wandb\run-20240504_150859-fscajwnd\run-fscajwnd.wandb
2024-05-04 15:08:59,661 DEBUG   SenderThread:5364 [sender.py:send():379] send: header
2024-05-04 15:08:59,695 DEBUG   SenderThread:5364 [sender.py:send():379] send: run
2024-05-04 15:09:00,549 INFO    SenderThread:5364 [dir_watcher.py:__init__():211] watching files in: d:\4_Course\1_2023Aio\8_40_Day_Python_Practice\Day38\wandb\run-20240504_150859-fscajwnd\files
2024-05-04 15:09:00,549 INFO    SenderThread:5364 [sender.py:_start_run_threads():1124] run started: fscajwnd with start time 1714810139.65069
2024-05-04 15:09:00,558 DEBUG   HandlerThread:5364 [handler.py:handle_request():146] handle_request: check_version
2024-05-04 15:09:00,558 DEBUG   SenderThread:5364 [sender.py:send_request():406] send_request: check_version
2024-05-04 15:09:01,062 DEBUG   HandlerThread:5364 [handler.py:handle_request():146] handle_request: run_start
2024-05-04 15:09:01,070 DEBUG   HandlerThread:5364 [system_info.py:__init__():26] System info init
2024-05-04 15:09:01,070 DEBUG   HandlerThread:5364 [system_info.py:__init__():41] System info init done
2024-05-04 15:09:01,070 INFO    HandlerThread:5364 [system_monitor.py:start():194] Starting system monitor
2024-05-04 15:09:01,071 INFO    SystemMonitor:5364 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-04 15:09:01,071 INFO    HandlerThread:5364 [system_monitor.py:probe():214] Collecting system info
2024-05-04 15:09:01,075 DEBUG   HandlerThread:5364 [system_info.py:probe():150] Probing system
2024-05-04 15:09:01,075 INFO    SystemMonitor:5364 [interfaces.py:start():190] Started cpu monitoring
2024-05-04 15:09:01,076 INFO    SystemMonitor:5364 [interfaces.py:start():190] Started disk monitoring
2024-05-04 15:09:01,076 INFO    SystemMonitor:5364 [interfaces.py:start():190] Started gpu monitoring
2024-05-04 15:09:01,080 INFO    SystemMonitor:5364 [interfaces.py:start():190] Started memory monitoring
2024-05-04 15:09:01,088 INFO    SystemMonitor:5364 [interfaces.py:start():190] Started network monitoring
2024-05-04 15:09:01,089 DEBUG   HandlerThread:5364 [system_info.py:_probe_git():135] Probing git
2024-05-04 15:09:01,147 DEBUG   HandlerThread:5364 [system_info.py:_probe_git():143] Probing git done
2024-05-04 15:09:01,147 DEBUG   HandlerThread:5364 [system_info.py:probe():198] Probing system done
